id,type,property,externalLink,attributionId
263,Sound,None,http://www.xeno-canto.org/sounds/uploaded/YDVJBAWGXR/XC453773-roitelet%20hupp%C3%A9_STE008.mp3,525
264,Paint,None,,526
265,Sound,None,http://www.xeno-canto.org/sounds/uploaded/NRUIFMFTXY/XC527195-Tree%20Sparrow%20BTN%20170526_3097.mp3,529
266,Paint,None,,530
267,Sound,None,http://www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/XC490192-2019.07.06_15.21_01cegonha.mp3,533
268,Paint,None,,534
269,Sound,None,http://www.xeno-canto.org/sounds/uploaded/ZNHUUXHXZS/XC507643-carspi_P201911_20_21_yom_0600.mp3,537
270,Paint,None,,538
271,Sound,None,http://www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/XC385928-combattant%20varie%20vol%20u.mp3,541
272,Paint,None,,542
273,Sound,None,http://www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/XC527446-2018-10-29%20Ouessant%20Grive%20litorne%20vol%20tchak%20tchak.mp3,545
274,Paint,None,,546
275,Sound,None,http://www.xeno-canto.org/sounds/uploaded/NRUIFMFTXY/XC528568-Little%20Ringed%20Plover%20Driel%20180417%200430u.mp3,549
276,Paint,None,,550
277,Sound,None,http://www.xeno-canto.org/sounds/uploaded/OTVUCEGYZN/XC503403-Regenwulp%20roep%20NHD%20210819.mp3,553
278,Paint,None,,554
279,Sound,None,http://www.xeno-canto.org/sounds/uploaded/XUDFGWMRXG/XC512134-Greenfinch_061219_Lleida%20Dump.mp3,557
280,Paint,None,,558
281,Sound,None,http://www.xeno-canto.org/sounds/uploaded/FVNPWGEQCT/XC445707-GWFG_elgasi_12-6-18_ColusaWR_COL_1207.mp3,561
282,Paint,None,,562
283,Sound,None,http://www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/XC270361-Falco%20vespertinus%20150624_026%2CB.MP3,565
284,Paint,None,,566
285,Sound,None,http://www.xeno-canto.org/sounds/uploaded/LQCZCYNEGU/XC372132-kleinst_waterhoen_waverhoek2b.mp3,569
286,Paint,None,,570
287,Sound,None,http://www.xeno-canto.org/sounds/uploaded/NRUIFMFTXY/XC527792-Wood%20Pigeon%20Winterswijk%20170326.mp3,573
288,Paint,None,,574
289,Sound,None,http://www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/XC378672-crecerellette%20male%20cris%20pose.mp3,577
290,Paint,None,,578
291,Sound,None,http://www.xeno-canto.org/sounds/uploaded/CVLRXNQXVL/XC477439-karmingimpel_20190520_turov_call%20F.mp3,581
292,Paint,None,,582
293,Sound,None,http://www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/XC480360-Delichon%20urbicum%20meridionale%200407_165341%2C%20A%20call.MP3,585
294,Paint,None,,586
295,Sound,None,http://www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/XC330960-Pernis%20apivorus%20160812_003-B.MP3,589
296,Paint,None,,590
297,Sound,None,http://www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/XC490170-g%C4%85siorek3%20call%20ad.mp3,593
298,Paint,None,,594
299,Sound,None,http://www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/XC184328-Calidris%20minuta%200516_065723%2CAA.MP3,597
300,Paint,None,,598
301,Sound,None,http://www.xeno-canto.org/sounds/uploaded/GVVNEJJEGA/XC371871-MERL_2017-04-28_Forestvale_Cemetery_Helena_MT_1731%282%29.mp3,601
302,Paint,None,,602
303,Sound,None,http://www.xeno-canto.org/sounds/uploaded/GPXJQQOAML/XC515306-01012020_sieur_call.mp3,605
304,Paint,None,,606
305,Sound,None,http://www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/XC513468-2019.12.25_16.23_01.mp3,609
306,Paint,None,,610
307,Sound,None,http://www.xeno-canto.org/sounds/uploaded/NRUIFMFTXY/XC528467-Long-eared%20Owl%20Driel%20180417%200540u.mp3,613
308,Paint,None,,614
309,Sound,None,http://www.xeno-canto.org/sounds/uploaded/XAMHIHFTZG/XC314853-call4.mp3,617
310,Paint,None,,618
311,Sound,None,http://www.xeno-canto.org/sounds/uploaded/JPBSNBUUEF/XC416250-Bonelli.mp3,621
312,Paint,None,,622
313,Sound,None,http://www.xeno-canto.org/sounds/uploaded/NRUIFMFTXY/XC528453-Avocet%20Texel%20180511-000.mp3,625
314,Paint,None,,626
315,Sound,None,http://www.xeno-canto.org/sounds/uploaded/CXFHOPIVAS/XC524068-Water%20Pipit%20Yotvata%20call%2028%20Jan.mp3,629
316,Paint,None,,630
317,Sound,None,http://www.xeno-canto.org/sounds/uploaded/YXDWPKLRUH/XC518854-190909_1782-20190909-085154%20zolna.mp3,633
318,Paint,None,,634
